,id,link,gia_tien,RAM,ROM,CPU,Man_hinh,camera_sau,camera_truoc,kich_thuoc,radio,thoi_diem ra mat,rating,ghi_am
109,212247,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-8-32gb,3.890.000₫,3 GB,32 GB,Snapdragon 665 8 nhân,IPS LCD,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",13 MP,Dài 158.3 mm - Ngang 75.3 mm - Dày 8.4 mm,Có,10/2019,2.7901785714285716,Có (microphone chuyên dụng chống ồn)
110,211156,https://www.dienmayxanh.com/dien-thoai/vivo-u10,3.390.000₫,4 GB,64 GB,Snapdragon 665 AIE 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 2 MP",8 MP,Dài 159.43 mm - Ngang 76.77 mm - Dày 8.92 mm,Có,02/2019,4.169082125603865,Có (microphone chuyên dụng chống ồn)
111,217331,https://www.dienmayxanh.com/dien-thoai/realme-5i-4gb,3.390.000₫,4 GB,64 GB,Snapdragon 665 AIE 8 nhân,IPS LCD,"Chính 12 MP & Phụ 8 MP, 2 MP, 2 MP",8 MP,Dài 164.4 mm - Ngang 75 mm - Dày 9.3 mm,Có,01/2020,3.3,Có
112,216173,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a11,3.490.000₫,3 GB,32 GB,Snapdragon 450 8 nhân,PLS TFT LCD,"Chính 13 MP & Phụ 5 MP, 2 MP",8 MP,Dài 161.4 mm - Ngang 76.3 mm - Dày 8.0 mm,Có,04/2020,3.185840707964602,Có (microphone chuyên dụng chống ồn)
113,227626,https://www.dienmayxanh.com/dien-thoai/nokia-34,3.590.000₫,4 GB,64 GB,Snapdragon 460 8 nhân,IPS LCD,"Chính 13 MP & Phụ 5 MP, 2 MP",8 MP,Dài 160.97 mm - Ngang 75.99 mm - Dày 8.7 mm,Có,12/2020,2.7142857142857144,
114,225176,https://www.dienmayxanh.com/dien-thoai/realme-c3-64gb,3.490.000₫,3 GB,64 GB,MediaTek Helio G70 8 nhân,IPS LCD,"Chính 12 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.4 mm - Ngang 75 mm - Dày 8.95 mm,Có,06/2020,3.6944444444444446,Có
115,224290,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-9-3gb,3.490.000₫,3 GB,32 GB,MediaTek Helio G80 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 5 MP, 2 MP",8 MP,Dài 163.32 mm - Ngang 77.1 mm - Dày 9.1 mm,Có,06/2020,3.46875,Có (microphone chuyên dụng chống ồn)
116,221926,https://www.dienmayxanh.com/dien-thoai/huawei-y6p,2.990.000₫,4 GB,64 GB,MediaTek MT6762R 8 nhân,IPS LCD,"Chính 13 MP & Phụ 5 MP, 2 MP",8 MP,Dài 159.07 mm - Ngang 74.06 mm - Dày 9.04 mm,Có,05/2020,4.0,Có
117,229885,https://www.dienmayxanh.com/dien-thoai/oppo-a15,3.490.000₫ ,3 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,"Chính 13 MP & Phụ 2 MP, 2 MP",8 MP,Dài 164 mm - Ngang 75.4 mm - Dày 7.9 mm,Đang cập nhật,12/2020,4.5,
118,226733,https://www.dienmayxanh.com/dien-thoai/realme-c12,3.490.000₫ ,3 GB,32 GB,MediaTek Helio G35 8 nhân,IPS LCD,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.5 mm - Ngang 75.9 mm - Dày 9.8 mm,,08/2020,4.222222222222222,Có
119,228360,https://www.dienmayxanh.com/dien-thoai/vsmart-joy-4,3.290.000₫ ,3 GB,64 GB,Snapdragon 665 8 nhân,LTPS IPS LCD,"Chính 16 MP & Phụ 8 MP, 2 MP, 2 MP",13 MP,Dài 163.65 mm - Ngang 77.65 mm - Dày 9.15 mm,Có,09/2020,3.735294117647059,Có
120,219208,https://www.dienmayxanh.com/dien-thoai/vsmart-joy-3-4gb,3.340.000₫,4 GB,64 GB,Snapdragon 632 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 2 MP",8 MP,Dài 165.13 mm - Ngang 76.4 mm - Dày 9.19 mm,Có,03/2020,3.2563025210084033,Có (microphone chuyên dụng chống ồn)
